,Attrition,Age,DistanceFromHome,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,PerformanceRating,JobInvolvement,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,NumCompaniesWorked_Missing,TotalWorkngYears_Missing,EnvironmentSatisfaction_Missing,JobSatisfaction_Missing,WorkLifeBalance_Missing,Age_Bin,Gender_Male,JobRole_Human_Resources,JobRole_Laboratory_Technician,JobRole_Manager,JobRole_Manufacturing_Director,JobRole_Research_Director,JobRole_Research_Scientist,JobRole_Sales_Executive,JobRole_Sales_Representative,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Education_2,Education_3,Education_4,Education_5,EducationField_Life_Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical_Degree,JobLevel_2,JobLevel_3,JobLevel_4,JobLevel_5,MaritalStatus_Married,MaritalStatus_Single,Department_Research_Development,Department_Sales,StockOptionLevel_1,StockOptionLevel_2,StockOptionLevel_3,Age_sd,DistanceFromHome_sd,MonthlyIncome_sd,NumCompaniesWorked_sd,PercentSalaryHike_sd,TotalWorkingYears_sd,TrainingTimesLastYear_sd,YearsAtCompany_sd,YearsSinceLastPromotion_sd,YearsWithCurrManager_sd,PerformanceRating_sd,JobInvolvement_sd,EnvironmentSatisfaction_sd,JobSatisfaction_sd,WorkLifeBalance_sd
10,1,22,26,26540,0.0,19,1.0,5,0,0,0,4,1,3.0,3.089749430523918,3.0161804922515953,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,-1.6341847718190805,2.531740961543838,-0.8178157316484119,-1.0808660195484174,1.1095654957940746,-1.3224515193484958,1.707499689688721,-1.1442943653688686,-0.6791456840737199,-1.1559347102263289,1.6245446154992582,-2.3547382944293056,0.049909597077369375,4.688417920436691e-16,0.0
11,0,34,11,88340,4.0,13,15.0,1,11,5,10,3,4,2.0,4.0,4.0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,-0.3201625558062908,0.4266771765552148,0.49530233606384877,0.5234888158566704,-0.3296062208094163,0.47856364163329607,-1.3960855268088614,0.651787937874638,0.8730062991171511,1.647602699496,0.04825380046037423,1.1303481397691186,-0.8934248131996299,0.960985988256784,1.0778887624561249
12,0,36,19,63970,4.0,14,11.0,3,3,0,2,3,4,2.0,3.0,4.0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,-0.10115885313749257,1.5493778618824803,-0.022508138210387385,0.5234888158566704,-0.08974426804216784,-0.036012118647215895,0.1557070814399298,-0.6544537372115486,-0.6791456840737199,-0.5952272282818631,0.04825380046037423,1.1303481397691186,-0.8934248131996299,-0.0947518717150079,1.0778887624561249
13,0,47,18,62740,7.0,14,17.0,0,6,1,2,3,4,4.0,4.0,3.0,1,1,1,1,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1.103361511540898,1.4090402762165721,-0.04864301237359257,1.7267549424104864,-0.08974426804216784,0.7358515217735521,-2.171981830933257,-0.16461310905422863,-0.3687152874355457,-0.5952272282818631,0.04825380046037423,1.1303481397691186,0.9932440073543686,0.960985988256784,-0.017727612261845094
14,0,44,16,45560,2.0,13,6.0,4,0,0,0,3,2,4.0,3.0,4.0,1,1,1,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.7748559575377005,1.1283651048847558,-0.41368133605153173,-0.2786886018458735,-0.3296062208094163,-0.6792318189978559,0.9316033855643254,-1.1442943653688686,-0.6791456840737199,-1.1559347102263289,0.04825380046037423,-1.1930428163631641,0.9932440073543686,-0.0947518717150079,1.0778887624561249
15,0,51,1,20730,3.0,14,23.0,4,13,12,8,3,3,4.0,4.0,3.0,1,1,1,1,1,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1.5413689168784945,-0.9766986801038673,-0.9412658283055031,0.12240010700539844,-0.08974426804216784,1.5077151621943201,0.9316033855643254,0.9783483566461847,3.0460190755843706,1.086895217551534,0.04825380046037423,-0.03134733829702275,0.9932440073543686,0.960985988256784,-0.017727612261845094
16,0,53,2,116910,4.0,20,35.0,2,9,8,8,4,2,3.0,4.0,4.0,1,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1.7603726195472926,-0.836361094437959,1.1023538440661027,0.5234888158566704,1.3494274485613231,3.0514424430358558,-0.6201892226844657,0.32522751910309133,1.8042974890316739,1.086895217551534,1.6245446154992582,-1.1930428163631641,0.049909597077369375,0.960985988256784,1.0778887624561249
17,0,58,2,39680,2.0,13,12.0,3,5,1,2,3,2,4.0,3.0,4.0,1,1,1,1,1,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2.3078818762192883,-0.836361094437959,-0.5386187832707565,-0.2786886018458735,-0.3296062208094163,0.0926318214229121,0.1557070814399298,-0.32789331844000197,-0.3687152874355457,-0.5952272282818631,0.04825380046037423,-1.1930428163631641,0.9932440073543686,-0.0947518717150079,1.0778887624561249
18,1,35,18,19040,1.0,20,10.0,4,10,7,7,4,2,1.0,2.0,1.0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,-0.2106607044718917,1.4090402762165721,-0.9771747204484436,-0.6797773106971454,1.3494274485613231,-0.16465605871734387,0.9316033855643254,0.48850772848886465,1.4938670923934996,0.8065414765793013,1.6245446154992582,-1.1930428163631641,-1.836759223476629,-1.1504897316868,-2.208960361697785
19,0,43,8,26830,4.0,11,21.0,3,1,0,0,3,3,4.0,3.0,3.0,1,1,1,1,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.6653541062033014,0.005664419557490206,-0.8116538507481441,0.5234888158566704,-0.8093301263439133,1.250427282054064,0.1557070814399298,-0.9810141559830953,-0.6791456840737199,-1.1559347102263289,0.04825380046037423,-0.03134733829702275,0.9932440073543686,-0.0947518717150079,-0.017727612261845094
20,0,22,2,193310,1.0,12,1.0,2,0,0,0,3,3,1.0,3.0,4.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,-1.6341847718190805,-0.836361094437959,2.725690743309092,-0.6797773106971454,-0.5694681735766648,-1.3224515193484958,-0.6201892226844657,-1.1442943653688686,-0.6791456840737199,-1.1559347102263289,0.04825380046037423,-0.03134733829702275,-1.836759223476629,-0.0947518717150079,1.0778887624561249
21,0,47,1,68340,3.0,16,5.0,2,0,0,0,3,3,2.0,1.0,4.0,1,1,1,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1.103361511540898,-0.9766986801038673,0.07034503259709772,0.12240010700539844,0.3899796374923291,-0.8078757590679838,-0.6201892226844657,-1.1442943653688686,-0.6791456840737199,-1.1559347102263289,0.04825380046037423,-0.03134733829702275,-0.8934248131996299,-2.206227591658592,1.0778887624561249
22,0,25,14,199260,7.0,11,6.0,5,4,0,1,3,3,4.0,4.0,3.0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,-1.3056792178158831,0.8476899335529394,2.85211554109045,1.7267549424104864,-0.8093301263439133,-0.6792318189978559,1.707499689688721,-0.4911735278257753,-0.6791456840737199,-0.875580969254096,0.04825380046037423,-0.03134733829702275,0.9932440073543686,0.960985988256784,-0.017727612261845094
23,0,28,1,74570,3.0,11,10.0,1,8,1,7,3,2,4.0,4.0,3.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,-0.9771736638126857,-0.9766986801038673,0.20271923262699065,0.12240010700539844,-0.8093301263439133,-0.16465605871734387,-1.3960855268088614,0.16194730971731802,-0.3687152874355457,0.8065414765793013,0.04825380046037423,-1.1930428163631641,0.9932440073543686,0.960985988256784,-0.017727612261845094
24,0,25,6,74840,1.0,15,6.0,3,6,1,4,3,2,2.0,4.0,4.0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,-1.3056792178158831,-0.2750107517743262,0.2084561562237918,-0.6797773106971454,0.15011768472508064,-0.6792318189978559,0.1557070814399298,-0.16461310905422863,-0.3687152874355457,-0.034519746337397406,0.04825380046037423,-1.1930428163631641,-0.8934248131996299,0.960985988256784,1.0778887624561249
25,1,32,11,27410,1.0,12,1.0,5,1,0,1,1,1,2.0,3.0,2.0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,-0.5391662584750891,0.4266771765552148,-0.7993300889476083,-0.6797773106971454,-0.5694681735766648,-1.3224515193484958,1.707499689688721,-0.9810141559830953,-0.6791456840737199,-0.875580969254096,-3.104327829617394,-2.3547382944293056,-0.8934248131996299,-0.0947518717150079,-1.113343986979815
26,0,40,12,25710,7.0,14,22.0,1,20,5,13,3,2,4.0,4.0,4.0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0.33684855220010396,0.567014762221123,-0.8354514597422821,1.7267549424104864,-0.08974426804216784,1.379071222124192,-1.3960855268088614,2.1213098223465976,0.8730062991171511,2.4886639224126985,0.04825380046037423,-1.1930428163631641,0.9932440073543686,0.960985988256784,1.0778887624561249
27,0,33,6,37370,8.0,22,8.0,2,5,0,2,4,4,4.0,3.0,3.0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,-0.42966440714069,-0.2750107517743262,-0.5877013518211662,2.1278436512617582,1.82915135409582,-0.42194393885759984,-0.6201892226844657,-0.32789331844000197,-0.6791456840737199,-0.5952272282818631,1.6245446154992582,1.1303481397691186,0.9932440073543686,-0.0947518717150079,-0.017727612261845094
28,1,47,1,196270,7.0,5,25.0,1,23,14,10,3,2,4.0,3.0,2.0,1,1,1,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1.103361511540898,-0.9766986801038673,2.788584424222171,1.7267549424104864,-2.2485018429474044,1.765003042334576,-1.3960855268088614,2.6111504505039176,3.666879868860719,1.647602699496,0.04825380046037423,-1.1930428163631641,0.9932440073543686,-0.0947518717150079,-1.113343986979815
29,0,40,1,30680,3.0,19,20.0,3,1,0,1,3,3,3.0,3.0,3.0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.33684855220010396,-0.9766986801038673,-0.7298495698307945,0.12240010700539844,1.1095654957940746,1.121783341983936,0.1557070814399298,-0.9810141559830953,-0.6791456840737199,-0.875580969254096,0.04825380046037423,-0.03134733829702275,0.049909597077369375,-0.0947518717150079,-0.017727612261845094
30,0,38,6,25140,3.0,11,15.0,2,1,1,0,3,3,3.0,3.0,4.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.11784484953130571,-0.2750107517743262,-0.8475627428910846,0.12240010700539844,-0.8093301263439133,0.47856364163329607,-0.6201892226844657,-0.9810141559830953,-0.3687152874355457,-1.1559347102263289,0.04825380046037423,-0.03134733829702275,0.049909597077369375,-0.0947518717150079,1.0778887624561249
31,0,37,3,98840,1.0,14,10.0,3,10,7,8,3,3,4.0,4.0,4.0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.008342998196906572,-0.6960235087720509,0.718404920383893,-0.6797773106971454,-0.08974426804216784,-0.16465605871734387,0.1557070814399298,0.48850772848886465,1.4938670923934996,1.086895217551534,0.04825380046037423,-0.03134733829702275,0.9932440073543686,0.960985988256784,1.0778887624561249
32,1,20,35,27070,1.0,4,1.0,2,1,0,0,2,2,3.0,3.0,2.0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,-1.8531884744878788,3.7947792325370115,-0.806554363106543,-0.6797773106971454,-2.4883637957146525,-1.3224515193484958,-0.6201892226844657,-0.9810141559830953,-0.6791456840737199,-1.1559347102263289,-1.5280370145785098,-1.1930428163631641,0.049909597077369375,-0.0947518717150079,-1.113343986979815
33,0,34,2,68770,7.0,20,16.0,3,14,6,9,4,4,2.0,3.0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,-0.3201625558062908,-0.836361094437959,0.07948161462163286,1.7267549424104864,1.3494274485613231,0.607207581703424,0.1557070814399298,1.141628566031958,1.1834366957553253,1.367248958523767,1.6245446154992582,1.1303481397691186,-0.8934248131996299,-0.0947518717150079,-2.208960361697785
34,0,45,19,54760,4.0,13,9.0,3,5,0,3,3,4,3.0,4.0,2.0,1,1,1,1,1,2,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0.8843578088720997,1.5493778618824803,-0.21820097645682623,0.5234888158566704,-0.3296062208094163,-0.29329999878747187,0.1557070814399298,-0.32789331844000197,-0.6791456840737199,-0.3148734873096303,0.04825380046037423,1.1303481397691186,0.049909597077369375,0.960985988256784,-1.113343986979815
35,1,26,2,59930,0.0,8,8.0,3,7,1,0,3,1,1.0,3.0,3.0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-1.1961773664814839,-0.836361094437959,-0.1083495135106711,-1.0808660195484174,-1.5289159846456588,-0.42194393885759984,0.1557070814399298,-0.0013328996684553085,-0.3687152874355457,-1.1559347102263289,0.04825380046037423,-2.3547382944293056,-1.836759223476629,-0.0947518717150079,-0.017727612261845094
36,1,53,22,34230,6.0,9,15.0,4,2,2,2,3,2,3.0,2.0,1.0,1,1,1,1,1,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1.7603726195472926,1.970390618880205,-0.6544196484654462,1.3256662335592142,-1.2890540318784103,0.47856364163329607,0.9316033855643254,-0.8177339465973219,-0.058284890797371494,-0.5952272282818631,0.04825380046037423,-1.1930428163631641,0.049909597077369375,-1.1504897316868,-2.208960361697785
37,0,33,2,168800,1.0,14,9.0,2,9,2,8,3,3,2.0,2.0,3.0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,-0.42966440714069,-0.836361094437959,2.2049055679105884,-0.6797773106971454,-0.08974426804216784,-0.29329999878747187,-0.6201892226844657,0.32522751910309133,-0.058284890797371494,1.086895217551534,0.04825380046037423,-0.03134733829702275,-0.8934248131996299,-1.1504897316868,-0.017727612261845094
38,0,29,8,58690,1.0,11,10.0,6,10,0,9,3,3,4.0,4.0,3.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,-0.8676718124782865,0.005664419557490206,-0.13469686632560965,-0.6797773106971454,-0.8093301263439133,-0.16465605871734387,2.4833959938131165,0.48850772848886465,-0.6791456840737199,1.367248958523767,0.04825380046037423,-0.03134733829702275,0.9932440073543686,0.960985988256784,-0.017727612261845094
39,0,31,1,190680,0.0,12,10.0,1,9,8,5,3,4,3.0,4.0,4.0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,-0.6486681098094882,-0.9766986801038673,2.669808857903214,-1.0808660195484174,-0.5694681735766648,-0.16465605871734387,-1.3960855268088614,0.32522751910309133,1.8042974890316739,0.2458339946348355,0.04825380046037423,1.1303481397691186,0.049909597077369375,0.960985988256784,1.0778887624561249
40,0,42,6,34450,1.0,11,22.0,2,22,11,15,3,2,4.0,3.0,3.0,1,1,1,1,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0.5558522548689022,-0.2750107517743262,-0.649745118127312,-0.6797773106971454,-0.8093301263439133,1.379071222124192,-0.6201892226844657,2.4478702411181446,2.7355886789461965,3.0493714043571645,0.04825380046037423,-1.1930428163631641,0.9932440073543686,-0.0947518717150079,-0.017727612261845094
41,1,30,14,49500,1.0,4,1.0,3,1,0,0,1,2,4.0,4.0,2.0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,-0.7581699611438873,0.8476899335529394,-0.32996474726858177,-0.6797773106971454,-2.4883637957146525,-1.3224515193484958,0.1557070814399298,-0.9810141559830953,-0.6791456840737199,-1.1559347102263289,-3.104327829617394,-1.1930428163631641,0.9932440073543686,0.960985988256784,-1.113343986979815
42,0,50,3,43740,3.0,12,21.0,5,5,4,4,3,3,4.0,4.0,4.0,1,1,1,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1.4318670655440953,-0.6960235087720509,-0.4523524506670061,0.12240010700539844,-0.5694681735766648,1.250427282054064,1.707499689688721,-0.32789331844000197,0.5625759024789769,-0.034519746337397406,0.04825380046037423,-0.03134733829702275,0.9932440073543686,0.960985988256784,1.0778887624561249
43,0,28,4,25590,1.0,11,8.0,3,8,1,7,3,3,2.0,3.0,4.0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,-0.9771736638126857,-0.5556859231061426,-0.8380012035630826,-0.6797773106971454,-0.8093301263439133,-0.42194393885759984,0.1557070814399298,0.16194730971731802,-0.3687152874355457,0.8065414765793013,0.04825380046037423,-0.03134733829702275,-0.8934248131996299,-0.0947518717150079,1.0778887624561249
44,0,47,1,42490,2.0,12,25.0,2,17,12,11,3,4,1.0,4.0,3.0,1,1,1,1,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1.103361511540898,-0.9766986801038673,-0.478912282133678,-0.2786886018458735,-0.5694681735766648,1.765003042334576,-0.6201892226844657,1.6314691941892778,3.0460190755843706,1.9279564404682328,0.04825380046037423,1.1303481397691186,-1.836759223476629,0.960985988256784,-0.017727612261845094
45,0,26,2,20800,0.0,22,8.0,6,7,7,6,3,3,4.0,4.0,4.0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,-1.1961773664814839,-0.836361094437959,-0.9397784777433695,-1.0808660195484174,1.82915135409582,-0.42194393885759984,2.4833959938131165,-0.0013328996684553085,1.4938670923934996,0.5261877356070683,0.04825380046037423,-0.03134733829702275,0.9932440073543686,0.960985988256784,1.0778887624561249
46,0,42,22,26450,1.0,15,10.0,5,10,2,2,3,3,4.0,3.0,3.0,1,1,1,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.5558522548689022,1.970390618880205,-0.8197280395140123,-0.6797773106971454,0.15011768472508064,-0.16465605871734387,1.707499689688721,0.48850772848886465,-0.058284890797371494,-0.5952272282818631,0.04825380046037423,-0.03134733829702275,0.9932440073543686,-0.0947518717150079,-0.017727612261845094
47,0,35,16,51540,0.0,19,12.0,2,11,6,9,3,3,3.0,2.0,2.0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-0.2106607044718917,1.1283651048847558,-0.2866191023149732,-1.0808660195484174,1.1095654957940746,0.0926318214229121,-0.6201892226844657,0.651787937874638,1.1834366957553253,1.367248958523767,0.04825380046037423,-0.03134733829702275,0.049909597077369375,-1.1504897316868,-1.113343986979815
